127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000314
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/images/background.jpg, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000400
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000246
127.0.0.1, 2016-03-26 00:48:21, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.000220
127.0.0.1, 2016-03-26 00:48:22, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000355
127.0.0.1, 2016-03-26 00:48:24, GET, /GRS, HTTP/1.1, 200, 0.166972
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000491
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000404
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/css/calendar.css, HTTP/1.1, 304, 0.000341
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000284
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/calendar.js, HTTP/1.1, 304, 0.002383
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/jquery.js, HTTP/1.1, 304, 0.000252
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/web2py.js, HTTP/1.1, 304, 0.000435
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/js/share.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/images/facebook.png, HTTP/1.1, 304, 0.000418
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/images/twitter.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/images/gplus-32.png, HTTP/1.1, 304, 0.001731
127.0.0.1, 2016-03-26 00:48:25, GET, /GRS/static/images/favicon.ico, HTTP/1.1, 200, 0.000519
127.0.0.1, 2016-03-26 00:48:29, GET, /GRS, HTTP/1.1, 200, 0.148353
